variable,estimate,lci,uci,type,group,est_ci,gender,cesd_ge3
agediagnosed_dm,58.3,57.6,59.1,Continuous,NA,"58.3 (57.6, 59.1)",Total,No
moderate_pa,1.9,1.8,2.1,Continuous,NA,"1.9 (1.8, 2.1)",Total,No
vigorous_pa,0.7,0.6,0.8,Continuous,NA,"0.7 (0.6, 0.8)",Total,No
polypharmacy,3.4,3.3,3.5,Continuous,NA,"3.4 (3.3, 3.5)",Total,No
cesd,0.7,0.7,0.8,Continuous,NA,"0.7 (0.7, 0.8)",Total,No
fu_age,69.3,67.8,70.7,Continuous,NA,"69.3 (67.8, 70.7)",Total,No
age,67.8,66.7,68.9,Continuous,NA,"67.8 (66.7, 68.9)",Total,Yes
hh_size,2.3,2.1,2.4,Continuous,NA,"2.3 (2.1, 2.4)",Total,Yes
hh_children,3.3,3.1,3.4,Continuous,NA,"3.3 (3.1, 3.4)",Total,Yes
lengthmar,35.5,33.3,37.7,Continuous,NA,"35.5 (33.3, 37.7)",Total,Yes
bmi,32.8,32,33.6,Continuous,NA,"32.8 (32, 33.6)",Total,Yes
height,1.6,1.6,1.7,Continuous,NA,"1.6 (1.6, 1.7)",Total,Yes
weight,88.4,86.1,90.7,Continuous,NA,"88.4 (86.1, 90.7)",Total,Yes
waistcircumference,113.6,111.7,115.4,Continuous,NA,"113.6 (111.7, 115.4)",Total,Yes
adl_some6,1.4,1.3,1.6,Continuous,NA,"1.4 (1.3, 1.6)",Total,Yes
iadl_some4,0.9,0.8,1,Continuous,NA,"0.9 (0.8, 1)",Total,Yes
a1c_adj,7.1,6.9,7.3,Continuous,NA,"7.1 (6.9, 7.3)",Total,Yes
sbp,132.3,130.3,134.3,Continuous,NA,"132.3 (130.3, 134.3)",Total,Yes
dbp,77.6,76.3,79,Continuous,NA,"77.6 (76.3, 79)",Total,Yes
tc_adj,182.2,178.4,186,Continuous,NA,"182.2 (178.4, 186)",Total,Yes
hdl_adj,47.3,46,48.6,Continuous,NA,"47.3 (46, 48.6)",Total,Yes
nonhdl_adj,135.9,132.1,139.6,Continuous,NA,"135.9 (132.1, 139.6)",Total,Yes
nfalls,2.3,1.9,2.7,Continuous,NA,"2.3 (1.9, 2.7)",Total,Yes
agediagnosed_dm,56.9,55.6,58.2,Continuous,NA,"56.9 (55.6, 58.2)",Total,Yes
moderate_pa,1.3,1.1,1.5,Continuous,NA,"1.3 (1.1, 1.5)",Total,Yes
vigorous_pa,0.4,0.3,0.5,Continuous,NA,"0.4 (0.3, 0.5)",Total,Yes
polypharmacy,4.3,4.1,4.5,Continuous,NA,"4.3 (4.1, 4.5)",Total,Yes
cesd,4.9,4.8,5.1,Continuous,NA,"4.9 (4.8, 5.1)",Total,Yes
fu_age,67.8,65.9,69.7,Continuous,NA,"67.8 (65.9, 69.7)",Total,Yes
medication_bp,72.4,69.2,75.3,Proportion,NA,"72.4 (69.2, 75.3)",Total,No
medication_dm,83.3,80.6,85.8,Proportion,NA,"83.3 (80.6, 85.8)",Total,No
rxdiabi,25.1,22.9,27.5,Proportion,NA,"25.1 (22.9, 27.5)",Total,No
rxdiabo,71.4,68.2,74.3,Proportion,NA,"71.4 (68.2, 74.3)",Total,No
rxstrok,3.9,3,5,Proportion,NA,"3.9 (3, 5)",Total,No
rxangina,4.2,3,5.8,Proportion,NA,"4.2 (3, 5.8)",Total,No
rxchf,6.6,5.3,8.1,Proportion,NA,"6.6 (5.3, 8.1)",Total,No
rxarthr,25.3,22.9,27.8,Proportion,NA,"25.3 (22.9, 27.8)",Total,No
rxlung,8.6,7.2,10.4,Proportion,NA,"8.6 (7.2, 10.4)",Total,No
rxpsych,11.1,9.2,13.3,Proportion,NA,"11.1 (9.2, 13.3)",Total,No
rxcancr,0.9,0.5,1.5,Proportion,NA,"0.9 (0.5, 1.5)",Total,No
rxhrtat,3.4,2.5,4.6,Proportion,NA,"3.4 (2.5, 4.6)",Total,No
rxheart,25,22.7,27.4,Proportion,NA,"25 (22.7, 27.4)",Total,No
rxmemry,2.5,1.7,3.7,Proportion,NA,"2.5 (1.7, 3.7)",Total,No
rxhchol,66,63,68.8,Proportion,NA,"66 (63, 68.8)",Total,No
rxbreath,17.5,15.6,19.6,Proportion,NA,"17.5 (15.6, 19.6)",Total,No
rxstomach,18.4,16.5,20.6,Proportion,NA,"18.4 (16.5, 20.6)",Total,No
rxdepres,15.1,12.8,17.7,Proportion,NA,"15.1 (12.8, 17.7)",Total,No
alcohol,39.9,36.9,43,Proportion,NA,"39.9 (36.9, 43)",Total,No
diagnosed_bp,76,73.3,78.6,Proportion,NA,"76 (73.3, 78.6)",Total,No
htn,83.6,81.4,85.5,Proportion,NA,"83.6 (81.4, 85.5)",Total,No
alzh_demen,2.6,1.9,3.6,Proportion,NA,"2.6 (1.9, 3.6)",Total,No
bmi_underweight,0.6,0.3,1.5,Proportion,NA,"0.6 (0.3, 1.5)",Total,No
bmi_overweight,29,25.7,32.6,Proportion,NA,"29 (25.7, 32.6)",Total,No
bmi_obese,56.3,52.8,59.8,Proportion,NA,"56.3 (52.8, 59.8)",Total,No
fall_any,25.9,23.3,28.8,Proportion,NA,"25.9 (23.3, 28.8)",Total,No
fall_injury,23.9,20.2,28.1,Proportion,NA,"23.9 (20.2, 28.1)",Total,No
fracture_hip,3.4,2.6,4.5,Proportion,NA,"3.4 (2.6, 4.5)",Total,No
control_a1c,71.7,68.8,74.4,Proportion,NA,"71.7 (68.8, 74.4)",Total,No
control_bp,62.2,59.1,65.1,Proportion,NA,"62.2 (59.1, 65.1)",Total,No
control_chol,46,42.4,49.7,Proportion,NA,"46 (42.4, 49.7)",Total,No
control_joint,23.4,20.6,26.5,Proportion,NA,"23.4 (20.6, 26.5)",Total,No
heavydrinker,5.8,4.7,7.3,Proportion,NA,"5.8 (4.7, 7.3)",Total,No
vision_impairment,12.4,10.3,14.8,Proportion,NA,"12.4 (10.3, 14.8)",Total,No
balance_impairment,27.5,24.8,30.4,Proportion,NA,"27.5 (24.8, 30.4)",Total,No
married,58.6,55.6,61.6,Proportion,NA,"58.6 (55.6, 61.6)",Total,No
cesd_ge5,0,0,0,Proportion,NA,"0 (0, 0)",Total,No
cesd_ge6,0,0,0,Proportion,NA,"0 (0, 0)",Total,No
medication_bp,74.3,69.2,78.8,Proportion,NA,"74.3 (69.2, 78.8)",Total,Yes
medication_dm,84.6,80.7,87.8,Proportion,NA,"84.6 (80.7, 87.8)",Total,Yes
rxdiabi,31.6,26.7,36.8,Proportion,NA,"31.6 (26.7, 36.8)",Total,Yes
rxdiabo,69.5,65.7,73.2,Proportion,NA,"69.5 (65.7, 73.2)",Total,Yes
rxstrok,7,5.2,9.3,Proportion,NA,"7 (5.2, 9.3)",Total,Yes
rxangina,8.7,6.6,11.2,Proportion,NA,"8.7 (6.6, 11.2)",Total,Yes
rxchf,13.1,10.4,16.4,Proportion,NA,"13.1 (10.4, 16.4)",Total,Yes
rxarthr,38.2,34.3,42.2,Proportion,NA,"38.2 (34.3, 42.2)",Total,Yes
rxlung,15.8,12,20.4,Proportion,NA,"15.8 (12, 20.4)",Total,Yes
rxpsych,37.4,33.2,41.8,Proportion,NA,"37.4 (33.2, 41.8)",Total,Yes
rxcancr,2.1,1.1,3.9,Proportion,NA,"2.1 (1.1, 3.9)",Total,Yes
rxhrtat,4.8,3.1,7.3,Proportion,NA,"4.8 (3.1, 7.3)",Total,Yes
rxheart,31.5,27.2,36.2,Proportion,NA,"31.5 (27.2, 36.2)",Total,Yes
rxmemry,3.9,2.5,6.1,Proportion,NA,"3.9 (2.5, 6.1)",Total,Yes
rxhchol,63.7,58.8,68.2,Proportion,NA,"63.7 (58.8, 68.2)",Total,Yes
rxbreath,30.8,26.9,34.9,Proportion,NA,"30.8 (26.9, 34.9)",Total,Yes
rxstomach,32.8,29.1,36.8,Proportion,NA,"32.8 (29.1, 36.8)",Total,Yes
rxdepres,44.3,39.8,49,Proportion,NA,"44.3 (39.8, 49)",Total,Yes
alcohol,35.9,31.6,40.4,Proportion,NA,"35.9 (31.6, 40.4)",Total,Yes
diagnosed_bp,81.5,77.8,84.7,Proportion,NA,"81.5 (77.8, 84.7)",Total,Yes
htn,87.5,84.3,90.2,Proportion,NA,"87.5 (84.3, 90.2)",Total,Yes
alzh_demen,4.9,3,7.7,Proportion,NA,"4.9 (3, 7.7)",Total,Yes
bmi_underweight,0.4,0.2,1.1,Proportion,NA,"0.4 (0.2, 1.1)",Total,Yes
bmi_overweight,26,21.6,30.8,Proportion,NA,"26 (21.6, 30.8)",Total,Yes
bmi_obese,62.1,57.8,66.3,Proportion,NA,"62.1 (57.8, 66.3)",Total,Yes
fall_any,33.7,29.5,38.1,Proportion,NA,"33.7 (29.5, 38.1)",Total,Yes
fall_injury,36.3,29.5,43.6,Proportion,NA,"36.3 (29.5, 43.6)",Total,Yes
fracture_hip,6.7,4.7,9.5,Proportion,NA,"6.7 (4.7, 9.5)",Total,Yes
control_a1c,67,61.3,72.2,Proportion,NA,"67 (61.3, 72.2)",Total,Yes
control_bp,63.9,59.4,68.2,Proportion,NA,"63.9 (59.4, 68.2)",Total,Yes
control_chol,46.5,41.1,52,Proportion,NA,"46.5 (41.1, 52)",Total,Yes
control_joint,21.7,18.4,25.5,Proportion,NA,"21.7 (18.4, 25.5)",Total,Yes
heavydrinker,3.9,2.5,6,Proportion,NA,"3.9 (2.5, 6)",Total,Yes
vision_impairment,25.8,21.9,30.2,Proportion,NA,"25.8 (21.9, 30.2)",Total,Yes
balance_impairment,22.6,18.1,27.8,Proportion,NA,"22.6 (18.1, 27.8)",Total,Yes
married,47,42.8,51.3,Proportion,NA,"47 (42.8, 51.3)",Total,Yes
cesd_ge5,54.8,50.7,58.9,Proportion,NA,"54.8 (50.7, 58.9)",Total,Yes
cesd_ge6,36.8,33,40.8,Proportion,NA,"36.8 (33, 40.8)",Total,Yes
age_category,37.9,34.5,41.4,Grouped,50_64,"37.9 (34.5, 41.4)",Total,No
age_category,31,28.7,33.4,Grouped,65_74,"31 (28.7, 33.4)",Total,No
age_category,21.2,19.1,23.6,Grouped,75_84,"21.2 (19.1, 23.6)",Total,No
age_category,9.9,8.3,11.8,Grouped,85_over,"9.9 (8.3, 11.8)",Total,No
age_category,45.9,40.9,51,Grouped,50_64,"45.9 (40.9, 51)",Total,Yes
age_category,24,21.1,27.2,Grouped,65_74,"24 (21.1, 27.2)",Total,Yes
age_category,22,18.7,25.7,Grouped,75_84,"22 (18.7, 25.7)",Total,Yes
age_category,8.1,6.2,10.5,Grouped,85_over,"8.1 (6.2, 10.5)",Total,Yes
bmi_category,0.6,0.3,1.5,Grouped,Underweight,"0.6 (0.3, 1.5)",Total,No
bmi_category,14.1,12.1,16.3,Grouped,Normal,"14.1 (12.1, 16.3)",Total,No
bmi_category,29,25.7,32.6,Grouped,Overweight,"29 (25.7, 32.6)",Total,No
bmi_category,56.3,52.8,59.8,Grouped,Obese,"56.3 (52.8, 59.8)",Total,No
bmi_category,0.4,0.2,1.1,Grouped,Underweight,"0.4 (0.2, 1.1)",Total,Yes
bmi_category,11.5,8.7,15,Grouped,Normal,"11.5 (8.7, 15)",Total,Yes
bmi_category,26,21.6,30.8,Grouped,Overweight,"26 (21.6, 30.8)",Total,Yes
bmi_category,62.1,57.8,66.3,Grouped,Obese,"62.1 (57.8, 66.3)",Total,Yes
education_h,24.1,20.7,27.8,Grouped,Less than lower secondary,"24.1 (20.7, 27.8)",Total,No
education_h,18.1,15.6,21,Grouped,Tertiary,"18.1 (15.6, 21)",Total,No
education_h,57.8,54,61.5,Grouped,Upper secondary and vocational training,"57.8 (54, 61.5)",Total,No
education_h,36.9,31.8,42.4,Grouped,Less than lower secondary,"36.9 (31.8, 42.4)",Total,Yes
education_h,11.7,8.5,15.8,Grouped,Tertiary,"11.7 (8.5, 15.8)",Total,Yes
education_h,51.4,46.2,56.4,Grouped,Upper secondary and vocational training,"51.4 (46.2, 56.4)",Total,Yes
hh_wealthquintile,28.6,26.1,31.3,Grouped,Lowest,"28.6 (26.1, 31.3)",Total,No
hh_wealthquintile,25.3,22,29,Grouped,Low,"25.3 (22, 29)",Total,No
hh_wealthquintile,19.6,17.2,22.3,Grouped,Medium,"19.6 (17.2, 22.3)",Total,No
hh_wealthquintile,17.1,14.2,20.3,Grouped,High,"17.1 (14.2, 20.3)",Total,No
hh_wealthquintile,9.4,7.4,11.8,Grouped,Highest,"9.4 (7.4, 11.8)",Total,No
hh_wealthquintile,46,40.4,51.6,Grouped,Lowest,"46 (40.4, 51.6)",Total,Yes
hh_wealthquintile,26,21.5,31,Grouped,Low,"26 (21.5, 31)",Total,Yes
hh_wealthquintile,13.7,11.2,16.6,Grouped,Medium,"13.7 (11.2, 16.6)",Total,Yes
hh_wealthquintile,9,6.4,12.4,Grouped,High,"9 (6.4, 12.4)",Total,Yes
hh_wealthquintile,5.4,3,9.6,Grouped,Highest,"5.4 (3, 9.6)",Total,Yes
smoke,40.3,37.8,42.8,Grouped,Never,"40.3 (37.8, 42.8)",Total,No
smoke,48.6,46.1,51.1,Grouped,Former,"48.6 (46.1, 51.1)",Total,No
smoke,11.1,9.3,13.3,Grouped,Current,"11.1 (9.3, 13.3)",Total,No
smoke,34.9,30.4,39.8,Grouped,Never,"34.9 (30.4, 39.8)",Total,Yes
smoke,45.7,40.9,50.5,Grouped,Former,"45.7 (40.9, 50.5)",Total,Yes
smoke,19.4,15.9,23.4,Grouped,Current,"19.4 (15.9, 23.4)",Total,Yes
laborforce,22.2,19.4,25.2,Grouped,employed,"22.2 (19.4, 25.2)",Total,No
laborforce,9.6,8.1,11.4,Grouped,other,"9.6 (8.1, 11.4)",Total,No
laborforce,68.2,64.7,71.4,Grouped,retired,"68.2 (64.7, 71.4)",Total,No
laborforce,12.4,10,15.4,Grouped,employed,"12.4 (10, 15.4)",Total,Yes
laborforce,18.1,14.6,22.2,Grouped,other,"18.1 (14.6, 22.2)",Total,Yes
laborforce,69.5,65,73.7,Grouped,retired,"69.5 (65, 73.7)",Total,Yes
raceeth,10.6,8,14,Grouped,Hispanic,"10.6 (8, 14)",Total,No
raceeth,14.9,12.4,17.7,Grouped,NH Black,"14.9 (12.4, 17.7)",Total,No
raceeth,3.4,2.4,4.9,Grouped,NH Other,"3.4 (2.4, 4.9)",Total,No
raceeth,71.1,67,74.9,Grouped,NH White,"71.1 (67, 74.9)",Total,No
raceeth,18.1,13.3,24.2,Grouped,Hispanic,"18.1 (13.3, 24.2)",Total,Yes
raceeth,15.4,12.7,18.4,Grouped,NH Black,"15.4 (12.7, 18.4)",Total,Yes
raceeth,3.6,1.9,6.6,Grouped,NH Other,"3.6 (1.9, 6.6)",Total,Yes
raceeth,62.9,57.2,68.3,Grouped,NH White,"62.9 (57.2, 68.3)",Total,Yes
race,78.1,74.8,81.2,Grouped,1,"78.1 (74.8, 81.2)",Total,No
race,15,12.5,17.9,Grouped,2,"15 (12.5, 17.9)",Total,No
race,6.8,5.3,8.8,Grouped,3,"6.8 (5.3, 8.8)",Total,No
race,74.1,69.6,78.2,Grouped,1,"74.1 (69.6, 78.2)",Total,Yes
race,15.9,13.3,19,Grouped,2,"15.9 (13.3, 19)",Total,Yes
race,10,7.1,13.8,Grouped,3,"10 (7.1, 13.8)",Total,Yes
ethnicity,89.4,86,92,Grouped,0,"89.4 (86, 92)",Total,No
ethnicity,10.6,8,14,Grouped,1,"10.6 (8, 14)",Total,No
ethnicity,81.9,75.8,86.8,Grouped,0,"81.9 (75.8, 86.8)",Total,Yes
ethnicity,18.1,13.2,24.2,Grouped,1,"18.1 (13.2, 24.2)",Total,Yes
